,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Item_Fat_Content_regular,Outlet_Location_Type_tier 2,Outlet_Location_Type_tier 3,Outlet_Type_supermarket type1,Outlet_Type_supermarket type2,Outlet_Type_supermarket type3,encoderItem_Type,encoderOutlet_Identifier,Item_Outlet_Sales
3553,0.5069363152156632,-0.3901611108007899,-0.28331930286180607,-0.10122677401991632,2.0,0,0,0,1,0,0,-1.5433727478627322,0.64643934566533,731.0484
3943,1.2171140461209686,-1.3425266333251322,0.28067447815792634,0.13799823300531416,1.0,0,0,0,1,0,0,-0.7425615644466753,0.3893067880783313,3327.6684
1469,0.8028437030928738,-0.812917988512532,0.4229900672411588,0.4968357435431599,1.0,0,1,0,1,0,0,1.324730741640591,0.35121307584322026,2863.6058
2436,0.5306089062458399,-0.9325200552306028,-0.1601787656935349,0.13799823300531416,1.0,1,0,0,1,0,0,0.2311119449050061,0.3893067880783313,908.817
3814,0.9803881358192,1.538914269850873,2.0042192313761262,1.0948982611062361,1.0,1,1,0,1,0,0,-0.3827257022949668,0.3702599319607758,2649.884
1216,-0.12038734708402342,2.0235620354338386,-0.3414337703742455,0.7360607505683904,2.0,0,1,0,1,0,0,0.31577920658776115,0.28454907943177593,1303.6364
4031,-0.061205869508581305,-1.0345076867244465,-1.0910223247977173,-1.5365768161712994,2.0,1,0,0,0,0,0,-1.0388969803363173,-2.620096478495438,221.7114
5056,-1.0672909882910973,1.2776176850208028,-1.0248592677642658,1.0948982611062361,1.0,1,1,0,1,0,0,0.2311119449050061,0.3702599319607758,1805.6496
8108,0.1518474497630104,-0.09797809247033425,-0.8804362485557545,0.4968357435431599,1.0,0,1,0,1,0,0,-0.43564274084668864,0.35121307584322026,1731.08
5007,-0.995089585649058,0.46830520412386084,-0.2859744085971497,0.7360607505683904,2.0,1,1,0,1,0,0,1.2224244671072615,0.28454907943177593,2302.3364
3114,-0.061205869508581305,-0.715846099802916,1.3974939416459515,-1.5365768161712994,2.0,0,0,0,0,0,0,1.324730741640591,-2.620096478495438,459.402
3615,-0.6766932362931792,-0.046248355912018445,1.4610018929440594,-1.2973518091460687,0.0,1,0,1,1,0,0,0.2311119449050061,0.2369319391378871,460.7336
4003,-0.6305316837843343,-1.3425266333251322,-0.42352746181975953,-0.10122677401991632,2.0,0,0,0,1,0,0,-1.6492068249661755,0.64643934566533,1810.976
5668,-0.0020243919331391857,-1.3425266333251322,1.8283160743235936,0.7360607505683904,2.0,0,1,0,1,0,0,-1.825596953471915,0.28454907943177593,2530.04
2252,-0.558330281142295,-0.8786099821772886,0.0013118753046588026,0.018385729492698916,1.0,1,0,1,0,0,0,1.2224244671072615,-2.6105730504366607,283.6308
5814,-1.551395474858214,1.1897198191743146,-0.7524915393693706,0.13799823300531416,1.0,1,0,0,1,0,0,1.2224244671072615,0.3893067880783313,283.6308
1748,-0.8459522621589437,-0.9102582016859249,0.3286745621815655,0.4968357435431599,1.0,1,1,0,1,0,0,1.2224244671072615,0.35121307584322026,2406.867
133,-0.9394589967281421,-1.1543500666887379,-0.6218500882901526,0.018385729492698916,1.0,0,0,1,0,0,0,0.2311119449050061,-2.6105730504366607,101.2016
1785,-0.6766932362931792,-0.8099765437000304,1.988753000259148,1.3341232681314665,1.0,0,0,1,0,1,0,-0.3827257022949668,0.3702599319607758,3171.8712
1238,0.8265162941230509,0.058424943477417425,0.9353582157542498,0.4968357435431599,1.0,0,1,0,1,0,0,1.324730741640591,0.35121307584322026,3559.3668
8240,-1.3501784511017105,2.110709697623031,-1.7094217525319064,0.7360607505683904,2.0,1,1,0,1,0,0,-1.5433727478627322,0.28454907943177593,882.185
7789,-1.4543378516344887,1.1594450939857703,-1.5531580506894191,0.4968357435431599,1.0,1,1,0,1,0,0,-0.43564274084668864,0.35121307584322026,838.908
5548,-0.061205869508581305,-1.1619547631418778,-0.7013303101578132,-1.5365768161712994,1.0,0,0,1,0,0,1,0.2311119449050061,0.360736503901998,2956.152
1957,0.057157085642302936,-0.43314787688344764,0.6085015683299176,0.4968357435431599,1.0,1,1,0,1,0,0,1.324730741640591,0.35121307584322026,3067.3406
1453,0.30571929145916,-0.8403361855928236,0.9076285348657022,0.4968357435431599,1.0,1,1,0,1,0,0,1.324730741640591,0.35121307584322026,3731.809
2182,-0.9134191465949477,-0.6811894467782088,-0.6362626043444916,1.0948982611062361,1.0,0,1,0,1,0,0,0.31577920658776115,0.3702599319607758,1113.2176
8081,-1.0791272838061856,-0.7208136551251897,-0.6725052780491356,1.3341232681314665,1.0,1,0,1,0,1,0,-0.43564274084668864,0.3702599319607758,1872.2296
7416,-0.061205869508581305,-0.8416929635411481,-0.7700652006116278,-1.5365768161712994,2.0,0,0,0,0,0,0,-0.43564274084668864,-2.620096478495438,185.0924
5682,-0.061205869508581305,-0.4588705533221654,-0.7332748512969188,-1.5365768161712994,1.0,0,0,1,0,0,1,-0.43564274084668864,0.360736503901998,1701.7848
4651,-1.4732759244586302,-1.2124112009302908,-0.2998392490414237,0.13799823300531416,1.0,1,0,0,1,0,0,-0.43564274084668864,0.3893067880783313,2048.6666
3682,1.1816051595757036,-1.1113306893058752,1.1389494175378403,0.4968357435431599,1.0,0,1,0,1,0,0,1.2224244671072615,0.35121307584322026,2556.672
8303,-1.13594150227861,-0.9036164011043266,1.4604542173339945,0.7360607505683904,2.0,0,1,0,1,0,0,-1.9208476228650142,0.28454907943177593,5313.7498
1398,-1.572700806785373,-0.3243392674816279,1.3911716512701153,-1.2973518091460687,0.0,1,0,1,1,0,0,-0.43564274084668864,0.2369319391378871,5191.2426
8185,-1.6792274664211688,0.14450684455405613,-0.2886295143324935,0.13799823300531416,1.0,0,0,0,1,0,0,0.2311119449050061,0.3893067880783313,1084.5882
4016,1.0040607268493773,-0.22099428302912869,0.1554265108643769,0.018385729492698916,1.0,0,0,1,0,0,0,0.2311119449050061,-2.6105730504366607,596.5568
2078,0.9093703627286693,-0.22087507106584814,-1.2013101004268634,0.7360607505683904,2.0,1,1,0,1,0,0,-1.825596953471915,0.28454907943177593,1022.6688
124,-0.061205869508581305,-0.33506717362013716,-1.2461074031050938,1.0948982611062361,1.0,0,1,0,1,0,0,-1.5433727478627322,0.3702599319607758,866.8716
6202,1.927291777026274,-0.32842062920330767,0.8409594383796759,0.13799823300531416,1.0,0,0,0,1,0,0,1.2224244671072615,0.3893067880783313,1549.9824
2826,-0.3571132573857919,-0.45696576999224875,0.9198503484797812,-1.2973518091460687,0.0,1,0,1,1,0,0,1.324730741640591,0.2369319391378871,995.371
2044,0.589790383821282,-1.052994700126071,-1.654468430207385,1.0948982611062361,1.0,0,1,0,1,0,0,0.2311119449050061,0.3702599319607758,805.618
3136,-1.3904218558530113,1.4784511120956112,0.7114549746780781,-0.10122677401991632,2.0,1,0,0,1,0,0,-1.0388969803363173,0.64643934566533,3858.9768
4162,1.0987510909700844,-1.3425266333251322,-0.601073645702487,-0.10122677401991632,2.0,0,0,0,1,0,0,1.2224244671072615,0.64643934566533,2992.771
4389,-0.061205869508581305,1.3403547211302782,-0.8351329064249495,-1.5365768161712994,2.0,0,0,0,0,0,0,1.2224244671072615,-2.620096478495438,89.883
1868,-0.2979317798103498,-0.9781138565460787,0.5994825360612471,-0.10122677401991632,2.0,0,0,0,1,0,0,-0.3827257022949668,0.64643934566533,1244.3802
3657,1.737911048784859,0.9621917223043657,-0.272698879920431,-1.2973518091460687,0.0,0,0,1,1,0,0,0.31577920658776115,0.2369319391378871,2739.1012
2738,1.1224236820002615,-0.1505522727719917,0.22576279199089586,-1.2973518091460687,0.0,0,0,1,1,0,0,-1.0388969803363173,0.2369319391378871,1861.5768
5679,-0.061205869508581305,1.6447466257790782,-0.5567823824768311,-1.5365768161712994,1.0,0,0,1,0,0,1,-1.0388969803363173,0.360736503901998,2596.62
7271,-0.061205869508581305,0.07628609920583954,-1.412443852278891,-1.5365768161712994,1.0,0,0,1,0,0,1,-1.0388969803363173,0.360736503901998,1298.31
8505,-0.558330281142295,0.5908597846033062,1.125632252703631,1.3341232681314665,1.0,1,0,1,0,1,0,1.2224244671072615,0.3702599319607758,2117.244
5191,0.6489718613967241,1.071994195991272,-1.03876574436603,1.0948982611062361,1.0,0,1,0,1,0,0,0.2311119449050061,0.3702599319607758,1301.639
6811,-0.061205869508581305,0.6046453287133593,-1.0029874739564704,-1.5365768161712994,2.0,0,0,0,0,0,0,-1.6492068249661755,-2.620096478495438,75.9012
3733,-0.061205869508581305,0.338169749047848,0.7930009905135271,-1.5365768161712994,1.0,0,0,1,0,0,1,-1.0706472034673504,0.360736503901998,569.259
6958,-0.7950561914440635,-0.4830615459914975,-1.7462121018466152,-1.2973518091460687,0.0,0,0,1,1,0,0,-1.0706472034673504,0.2369319391378871,466.06
5186,1.1224236820002615,-0.5358109606915484,-0.7349178781271134,0.13799823300531416,1.0,1,0,0,1,0,0,1.2224244671072615,0.3893067880783313,2799.689
976,-0.061205869508581305,2.0120471044407613,-0.3254198636472024,-1.5365768161712994,2.0,0,0,0,0,0,0,1.2224244671072615,-2.620096478495438,474.0496
4749,1.8089288218753898,-1.3425266333251322,-0.9235905244037904,0.7360607505683904,2.0,1,1,0,1,0,0,0.2311119449050061,0.28454907943177593,908.1512
2916,0.6489718613967241,-0.3973923175078172,0.4592743771032934,1.0948982611062361,1.0,1,1,0,1,0,0,1.2224244671072615,0.3702599319607758,2536.698
5020,1.891782890481009,-0.0657429311662591,-0.805212523096142,-1.2973518091460687,0.0,1,0,1,1,0,0,-0.43564274084668864,0.2369319391378871,619.8598
2149,1.6313843891490634,-1.0476370208302501,-0.6357565648919169,1.3341232681314665,1.0,0,0,1,0,1,0,0.31577920658776115,0.3702599319607758,1537.998
7226,0.5542814972760166,0.6588683511393579,-0.4177112108964974,1.3341232681314665,1.0,0,0,1,0,1,0,-0.7425615644466753,0.3702599319607758,579.246
7980,1.2999681147265878,1.8987567002299222,-0.8478607594916033,0.018385729492698916,1.0,1,0,1,0,0,0,1.324730741640591,-2.6105730504366607,171.7764
185,-0.3571132573857919,-0.41499808650491177,-0.6490737297261261,1.3341232681314665,1.0,1,0,1,0,1,0,1.2224244671072615,0.3702599319607758,1012.016
843,-0.7240384183535328,-0.8397490179004691,-0.3888861787878198,1.3341232681314665,1.0,0,0,1,0,1,0,-0.7425615644466753,0.3702599319607758,2896.23
1815,0.18735633630827578,0.1545260093873559,0.9225470903726152,0.7360607505683904,2.0,1,1,0,1,0,0,0.2311119449050061,0.28454907943177593,1977.426
3908,-1.3004660099383392,1.9425863493135942,-0.7337808907494934,-0.10122677401991632,2.0,0,0,0,1,0,0,1.2224244671072615,0.64643934566533,1304.968
5045,-0.08487846053875807,-0.06223672352823136,0.9481693411358846,-0.10122677401991632,2.0,1,0,0,1,0,0,-0.43564274084668864,0.64643934566533,593.2278
5695,0.42408224661004423,2.1622365171427287,-1.34632243140293,0.4968357435431599,1.0,0,1,0,1,0,0,-1.6492068249661755,0.35121307584322026,1436.7964
7193,-0.6766932362931792,0.17054452397378367,-0.3137040894856976,1.3341232681314665,1.0,0,0,1,0,1,0,-0.7425615644466753,0.3702599319607758,2037.348
3872,-0.7950561914440635,-0.620658355659548,0.50141657404618,-0.10122677401991632,2.0,1,0,0,1,0,0,1.324730741640591,0.64643934566533,2556.672
8206,-0.061205869508581305,-0.5297746665246494,0.6309210377477782,-1.5365768161712994,2.0,0,0,0,0,0,0,1.324730741640591,-2.620096478495438,360.8636
1051,-0.061205869508581305,1.6898935413868972,-0.5525675222262731,-1.5365768161712994,1.0,0,0,1,0,0,1,1.324730741640591,0.360736503901998,1810.976
4812,-0.061205869508581305,-0.7662348301248454,-1.5452343696408783,-1.5365768161712994,2.0,1,0,0,0,0,0,-1.5433727478627322,-2.620096478495438,91.8804
4721,-0.061205869508581305,-0.27344461021269056,-1.3607765836147592,-1.5365768161712994,1.0,0,0,1,0,0,1,0.2311119449050061,0.360736503901998,1145.176
6365,-0.2860954842952612,-1.1184840437212924,-0.47527800279887217,-1.2973518091460687,0.0,1,0,1,1,0,0,-1.0388969803363173,0.2369319391378871,1677.816
6208,-0.061205869508581305,0.9809152703128922,-0.7615105716380413,-1.5365768161712994,2.0,1,0,0,0,0,0,-1.825596953471915,-2.620096478495438,183.7608
3435,1.6195480936339748,-1.0090511989968474,0.7353925624536621,0.4968357435431599,1.0,1,1,0,1,0,0,-0.3827257022949668,0.35121307584322026,5069.4012
3071,-0.41629473496123404,-0.6032780933926488,0.5835102654916943,-1.2973518091460687,0.0,1,0,1,1,0,0,0.2311119449050061,0.2369319391378871,3691.1952
4382,-0.061205869508581305,2.682114734452559,1.3058335423217022,-1.5365768161712994,2.0,0,0,0,0,0,0,1.324730741640591,-2.620096478495438,889.5088
2164,-0.061205869508581305,-0.400597897423112,-1.64275265604588,-1.5365768161712994,1.0,1,0,1,0,0,1,0.2311119449050061,0.360736503901998,910.8144
5526,0.4595911331553096,0.16623128933610026,-0.47523636664138186,0.018385729492698916,1.0,1,0,1,0,0,0,-1.5433727478627322,-2.6105730504366607,329.571
5344,-0.061205869508581305,1.6393321231408975,-1.6827041505485074,-1.5365768161712994,2.0,1,0,0,0,0,0,0.2311119449050061,-2.620096478495438,135.8232
7995,-0.0020243919331391857,1.7943088048902656,1.7856262017706417,1.3341232681314665,1.0,1,0,1,0,1,0,1.324730741640591,0.3702599319607758,4037.4112
5651,-1.16671587061784,-1.2286050525955279,-0.30413738160696213,0.7360607505683904,2.0,0,1,0,1,0,0,0.2311119449050061,0.28454907943177593,1340.2554
2272,-1.6425349503243947,-0.9460034724838456,-1.4647004327105784,1.0948982611062361,1.0,1,1,0,1,0,0,-1.0706472034673504,0.3702599319607758,1478.076
2846,-0.1322236425991116,0.23600476793903613,1.7072829672806011,1.3341232681314665,1.0,0,0,1,0,1,0,0.31577920658776115,0.3702599319607758,492.692
475,0.34122817800442534,1.2766807878306585,-0.8905506320445551,-0.10122677401991632,2.0,0,0,0,1,0,0,0.2311119449050061,0.64643934566533,1193.1136
5537,-0.9382753671766335,0.8160352883119352,-1.5920974662868974,-0.10122677401991632,2.0,0,0,0,1,0,0,-0.35450328173404844,0.64643934566533,690.4346
8403,-0.2032414156896423,-0.6419826548594175,0.635177534155826,1.3341232681314665,1.0,0,0,1,0,1,0,-0.3827257022949668,0.3702599319607758,3984.1472
6030,-0.889746555564771,2.232510254733695,-0.25457754306810887,0.7360607505683904,2.0,0,1,0,1,0,0,-0.43564274084668864,0.28454907943177593,2390.8878
7948,-0.842401373504417,-0.46911329449383493,-0.24012339085627987,1.0948982611062361,1.0,0,1,0,1,0,0,-1.6492068249661755,0.3702599319607758,2848.2924
4586,0.9803881358192,1.4443749730722852,0.5120786331450456,0.7360607505683904,2.0,0,1,0,1,0,0,1.324730741640591,0.28454907943177593,2053.3272
8171,1.3828221833322063,-0.5686972801233929,-0.4715275458433987,0.13799823300531416,1.0,0,0,0,1,0,0,1.324730741640591,0.3893067880783313,222.3772
597,1.3946584788472949,-0.6340029079178375,1.1400031326004796,1.0948982611062361,1.0,0,1,0,1,0,0,0.31577920658776115,0.3702599319607758,5770.4886
3432,-1.75971427592377,2.5922553851502936,-0.8564570246226801,0.018385729492698916,1.0,1,0,1,0,0,0,-0.43564274084668864,-2.6105730504366607,88.5514
4141,-0.061205869508581305,-0.6384242444977619,0.5221930166338459,-1.5365768161712994,1.0,0,0,1,0,0,1,-1.0706472034673504,0.360736503901998,5000.8238
8458,-0.061205869508581305,0.18777111472970437,1.3906239756600505,-1.5365768161712994,2.0,0,0,0,0,0,0,1.324730741640591,-2.620096478495438,452.744
1246,1.0632422044248193,-0.1876770754984807,-0.6170459162720398,1.0948982611062361,1.0,0,1,0,1,0,0,-0.43564274084668864,0.3702599319607758,1619.2256
3220,-1.48392859042221,-0.8048913166207201,-0.3174545464411711,0.7360607505683904,2.0,0,1,0,1,0,0,0.31577920658776115,0.28454907943177593,2530.7058
1387,0.35306447351951353,-0.9926168903328068,-0.4485604008154733,-0.10122677401991632,2.0,0,0,0,1,0,0,-0.7425615644466753,0.64643934566533,1989.4104
2938,-0.9169700352494744,2.431491347635214,-0.6207547370700229,0.4968357435431599,1.0,0,1,0,1,0,0,1.324730741640591,0.35121307584322026,798.96
1167,0.8028437030928738,0.45783555976833457,-0.7301137061090005,1.0948982611062361,1.0,0,1,0,1,0,0,-0.35450328173404844,0.3702599319607758,1737.738
6810,1.891782890481009,0.665286308413504,1.3186030315458461,0.13799823300531416,1.0,0,0,0,1,0,0,-1.825596953471915,0.3893067880783313,3589.9936
6470,0.03348449461212617,0.3710940191615432,0.8857151049004162,-1.2973518091460687,0.0,1,0,1,1,0,0,-0.3827257022949668,0.2369319391378871,4152.5946
3200,0.30571929145916,-0.6183525026237106,1.8298758288388075,0.7360607505683904,2.0,0,1,0,1,0,0,-0.3827257022949668,0.28454907943177593,2040.0112
1995,1.1224236820002615,-0.4928804634770025,-1.6400559141530462,0.7360607505683904,2.0,1,1,0,1,0,0,1.2224244671072615,0.28454907943177593,732.38
5983,-0.32160437084052657,-0.5711230638854248,-0.4965604848391124,0.7360607505683904,2.0,1,1,0,1,0,0,1.2224244671072615,0.28454907943177593,1627.881
6328,-1.3750346716833963,0.4058812816757361,-0.5099192858308119,0.4968357435431599,1.0,0,1,0,1,0,0,1.2224244671072615,0.35121307584322026,1310.2944
6610,1.264459228181322,2.0061959430643834,-1.5569501438023832,0.7360607505683904,2.0,0,1,0,1,0,0,-0.7425615644466753,0.28454907943177593,758.3462
153,-0.061205869508581305,-0.4865111972562479,-1.749414883192024,-1.5365768161712994,1.0,0,0,1,0,0,1,-1.0706472034673504,0.360736503901998,898.83
4706,1.891782890481009,1.1470103107516485,0.9129803824938797,0.7360607505683904,2.0,0,1,0,1,0,0,1.2224244671072615,0.28454907943177593,4306.3944
8218,1.4775125474529143,-0.810136417108151,0.12023755222237203,0.4968357435431599,1.0,1,1,0,1,0,0,1.324730741640591,0.35121307584322026,3825.6868
1761,-0.32160437084052657,-1.3425266333251322,-0.19326029421026056,0.13799823300531416,1.0,0,0,0,1,0,0,1.324730741640591,0.3893067880783313,2841.6344
3701,-1.3229549714170072,-0.3824829773139389,-0.6420788552677535,1.3341232681314665,1.0,0,0,1,0,1,0,-0.7425615644466753,0.3702599319607758,1970.768
275,-0.061205869508581305,-0.6663095553277145,0.5226990560864204,-1.5365768161712994,1.0,0,0,1,0,0,1,-1.0388969803363173,0.360736503901998,6501.8699
4991,1.1224236820002615,-0.9542852846739862,1.5073173139800136,-0.10122677401991632,2.0,0,0,0,1,0,0,-0.7425615644466753,0.64643934566533,6501.8699
143,0.8856977716984931,-0.7752773809829907,0.594130688433069,0.13799823300531416,1.0,0,0,0,1,0,0,0.31577920658776115,0.3893067880783313,2676.516
5743,-0.16773252914437695,-0.014900476620949446,1.8074979955784374,0.7360607505683904,2.0,0,1,0,1,0,0,-1.7762077174903081,0.28454907943177593,4807.076
6701,-1.2069592753691407,-0.12119218365934607,-0.6687964572511524,0.4968357435431599,1.0,0,1,0,1,0,0,1.2224244671072615,0.35121307584322026,1298.31
3431,0.18735633630827578,0.24677616950187392,-1.374641424059033,0.4968357435431599,1.0,0,1,0,1,0,0,-0.7425615644466753,0.35121307584322026,679.116
5876,-0.12038734708402342,-0.019144217152906602,-0.47363497596867765,0.018385729492698916,1.0,1,0,1,0,0,0,1.324730741640591,-2.6105730504366607,219.714
7560,-0.9726006241703898,0.18874842693168956,0.7417981251444795,-1.2973518091460687,0.0,1,0,1,1,0,0,1.324730741640591,0.2369319391378871,6501.8699
7983,0.2347015183686293,-0.709132977404182,0.041346642122266665,0.13799823300531416,1.0,0,0,0,1,0,0,-1.0706472034673504,0.3893067880783313,2552.6772
5984,1.6550569801792405,-0.8062146002172598,-1.465206472163153,1.0948982611062361,1.0,0,1,0,1,0,0,0.31577920658776115,0.3702599319607758,143.8128
2717,-0.2979317798103498,1.631755930771312,1.590000317193083,1.0948982611062361,1.0,1,1,0,1,0,0,-0.35450328173404844,0.3702599319607758,4063.3774
4880,-1.1844703138904726,1.98175313694221,-1.6790369659080147,0.4968357435431599,1.0,1,1,0,1,0,0,-0.43564274084668864,0.35121307584322026,335.5632
3164,-0.061205869508581305,1.5307393069018953,1.3991369684761465,-1.5365768161712994,2.0,1,0,0,0,0,0,-1.5433727478627322,-2.620096478495438,455.4072
7306,0.6844807479419895,2.0700477393810526,-1.6507596094094017,0.4968357435431599,1.0,0,1,0,1,0,0,-0.35450328173404844,0.35121307584322026,1062.6168
4390,-0.889746555564771,-0.20518462040937863,-0.4080612307027813,-1.2973518091460687,0.0,0,0,1,1,0,0,0.31577920658776115,0.2369319391378871,683.1108
7985,-0.6766932362931792,0.4867935318348137,0.1053189967154586,-1.2973518091460687,0.0,0,0,1,1,0,0,-0.7425615644466753,0.2369319391378871,2916.204
7611,0.5069363152156632,1.9862299209469159,0.6724739229231096,1.3341232681314665,1.0,1,0,1,0,1,0,-0.3827257022949668,0.3702599319607758,1290.9862
272,-1.48392859042221,0.8242240104366921,-0.8782455461154951,-1.2973518091460687,0.0,0,0,1,1,0,0,1.324730741640591,0.2369319391378871,1929.4884
2648,-0.061205869508581305,-0.6636181167927286,0.8958711245467068,-1.5365768161712994,1.0,0,0,1,0,0,1,1.324730741640591,0.360736503901998,6306.4576
875,0.5306089062458399,-0.8087235345803808,0.11008153257608139,-0.10122677401991632,2.0,0,0,0,1,0,0,0.2311119449050061,0.64643934566533,2808.3444
3098,-0.061205869508581305,0.4486612904722079,1.977037226097643,-1.5365768161712994,1.0,1,0,1,0,0,1,-0.35450328173404844,0.360736503901998,6501.8699
1926,0.057157085642302936,0.6857382347968087,0.8942697338740027,0.7360607505683904,2.0,1,1,0,1,0,0,0.2311119449050061,0.28454907943177593,2167.8448
